Gene name,Expression level,Read count,Strain,Time_min,Expression_combined
ALAS1,0.03672432191271068,0.1866572182214982,White,0,0.11169077006710444
ALAS1,0.05947599483674125,0.30814371085598685,White,1,0.18380985284636406
ALAS1,0.027832457859350027,0.13835112650657508,Black or African American,2,0.08309179218296256
ALAS1,0.04337456915379004,0.10049225923398045,confidential_restricted_data,3,0.07193341419388524
ALAS1,0.04713843534945306,0.1423808644086098,White,4,0.09475964987903143
ALAS1,0.04206195817563817,0.09830329210498305,confidential_restricted_data,5,0.07018262514031061
ALAS1,0.01818222059666068,0.08104064100844263,White,6,0.049611430802551655
ALAS1,0.0998610421766809,0.28441345087333775,confidential_restricted_data,7,0.19213724652500933
ALAS1,0.08701720035396601,0.2589421792616487,confidential_restricted_data,8,0.17297968980780737
ALAS1,0.034176632477898525,0.14730579891875606,White,9,0.0907412156983273
ALAS1,0.018275187766545586,0.0890998740386959,White,10,0.053687530902620746
ALAS1,0.013415771712946715,0.07934942786096691,White,11,0.046382599786956816
ALAS1,0.028651637930683874,0.13452070789760387,White,12,0.08158617291414387
ALAS1,0.02836728016264306,0.14551483458708017,White,13,0.08694105737486162
ALAS1,0.031251341459926404,0.13412241531391364,Black or African American,14,0.08268687838692002
ALAS1,0.05283344935107914,0.3361026429785422,White,15,0.19446804616481067
ALAS1,0.029728078908284227,0.10382575466526826,White,16,0.06677691678677625
ALAS1,0.08972429612602158,0.26625556137975026,confidential_restricted_data,17,0.1779899287528859
ALAS1,0.04235660690687294,0.1600912282312915,White,18,0.10122391756908222
ALAS1,0.05925378284573537,0.19013984642416928,confidential_restricted_data,19,0.12469681463495233
ALAS1,0.03386633712335068,0.15128602091202908,White,20,0.09257617901768989
ALAS1,0.029148105947086427,0.15029104227550305,White,21,0.08971957411129473
ALAS1,0.01552162517592541,0.08855251360571875,White,22,0.05203706939082208
ALAS1,0.02759044357852543,0.13904790725861124,White,23,0.08331917541856834
ALAS1,0.06155093708698873,0.19401992023835413,confidential_restricted_data,24,0.12778542866267142
ALAS1,0.042043711566162635,0.10094027841231595,confidential_restricted_data,25,0.07149199498923929
ALAS1,0.02921783851009061,0.14596278272422517,White,26,0.08759031061715788
ALAS1,0.04502343822256352,0.10506931428759478,confidential_restricted_data,27,0.07504637625507915
ALAS1,0.08839976425323072,0.26973785328098737,confidential_restricted_data,28,0.17906880876710904
ALAS1,0.21094768568680816,0.9478110669488845,White,29,0.5793793763178463
ALAS1,0.02865041158990526,0.15964352431067594,White,30,0.0941469679502906
ALAS1,0.03229012994330842,0.130490816769472,White,31,0.08139047335639021
ALAS1,0.032596088793989696,0.14397298206018408,White,32,0.08828453542708689
ALAS1,0.03086176988059239,0.14053992150495687,White,33,0.08570084569277463
ALAS1,0.05857530980996791,0.20133337051221967,confidential_restricted_data,34,0.12995434016109378
ALAS1,0.021334869686034867,0.10656167777004487,White,35,0.06394827372803986
ALAS1,0.04606783386173212,0.10397463272313942,confidential_restricted_data,36,0.07502123329243576
ALAS1,0.04892950246382162,0.18914478669720874,White,37,0.11903714458051518
ALAS1,0.027243043032235643,0.14123640376459604,White,38,0.08423972339841584
ALAS1,0.04295615102139504,0.10163682037043453,confidential_restricted_data,39,0.07229648569591479
ALAS1,0.046463976663578085,0.21904377413388762,White,40,0.13275387539873285
ALAS1,0.09121399598203814,0.2754590023304545,confidential_restricted_data,41,0.18333649915624634
ALAS1,0.0513717134180905,0.192577215443529,confidential_restricted_data,42,0.12197446443080974
ALAS1,0.03051889146592374,0.14934579545723922,White,43,0.08993234346158148
ALAS1,0.05749426646165251,0.19387103621063503,confidential_restricted_data,44,0.12568265133614376
ALAS1,0.04476858688431125,0.20770064615395406,White,45,0.12623461651913265
ALAS1,0.036538715714907015,0.15954428568767012,White,46,0.09804150070128857
ALAS1,0.18840479728033638,1.0,White,47,0.5942023986401682
ALAS1,0.03678240902871171,0.029202516121760915,confidential_restricted_data,48,0.03299246257523631
ALAS1,0.036214667140142785,0.017262811287460142,confidential_restricted_data,49,0.026738739213801464
