Strain_Encoded,Expression level,Read count,Expression_Level_Actual,Expression_Level_Predicted
2,0.0052587768023902,0.053728581709147,Low,Low
2,0.0189643361945987,0.0313914469341833,Low,Low
2,0.0292550466952963,0.0231828895999254,Low,Low
2,0.0206562194057017,0.0447738446236134,Low,Low
2,0.0706043068676171,0.0292025260715074,Medium,Medium
2,0.0455560952679193,0.0662653519303714,Medium,Medium
2,0.0247874069997165,0.0741753258274601,Medium,Medium
2,0.1141226417233295,0.3540617847920064,High,High
2,0.0513404321474485,0.0812894314364083,High,High
2,0.0515459088981806,0.0267648073185559,Medium,Medium
2,0.0421637396698693,0.1488980916858698,High,High
2,0.0823822860995455,0.0614396601723758,High,High
2,0.0995047494621477,0.2119297809570755,High,High
2,0.0191497543694509,0.0354211326000486,Low,Low
2,0.0344688297251744,0.1112384432138984,High,High
2,0.0178911443015026,0.0278095665271023,Low,Low
2,0.3033578932664937,0.0868117377856724,High,High
2,0.0229377330116341,0.017163317801696,Low,Low
2,0.0961100453736028,0.114720561492058,High,High
2,0.0043568714228304,0.053181403356532,Low,Low
2,0.0406356424134193,0.049301014135381,Medium,Medium
2,0.0335912930781958,0.01114373605372,Low,Low
2,0.0864145472739543,0.0401472149577326,High,High
2,0.0361519369350805,0.0678074979747912,Medium,Medium
2,0.0428431947363384,0.0392020561947258,Medium,Medium
2,0.04489969397097,0.142629502605453,High,High
2,0.0366073129546122,0.0311924753847622,Medium,Medium
2,0.0174377107866027,0.0221381732250379,Low,Low
2,0.0567102993765623,0.1873541009584367,High,High
2,0.0088732258292028,0.0614894288047003,Medium,Medium
2,0.1518449571269587,0.1037758616611116,High,High
2,0.0403885982192449,0.0178598140407291,Low,Low
2,0.0003090618281787,0.0278095625472037,Low,Low
2,0.0288196118869997,0.078951229053638,Medium,Medium
2,0.0879581186995455,0.032237198774221,High,High
2,0.03018802017298,0.0131834191751864,Low,Low
2,0.0226964600442294,0.0559673249327788,Medium,Medium
2,0.0387074275259785,0.0680562083072971,Medium,Medium
2,0.0171756020019457,0.1297944887309046,High,High
2,0.0216950090866821,0.0091537668409721,Low,Low
2,0.0102353119931419,0.0942738536903199,Medium,High
2,0.0395659511004949,0.0409432285121728,Medium,Medium
2,0.0561093133535466,0.0129844242438609,Medium,Medium
2,0.0508182924113874,0.1668071827916944,High,High
2,0.0535842752951863,0.0407939708714701,Medium,Medium
2,0.1481534330612496,0.0389035090741315,High,High
2,0.076538372291585,0.4299780555852043,High,High
2,0.0234659493620611,0.0575095475902472,Medium,Medium
2,0.1013129362458818,0.0230834468578687,High,High
2,0.0164850344197689,0.0304461997179296,Low,Low
2,0.0133129279489199,0.0302472295614731,Low,Low
2,0.0190496483154046,0.0473110299980132,Medium,Low
2,0.0312597366248268,0.0239291305421425,Low,Low
2,0.0300458400913612,0.089199466026951,High,High
1,0.0275904435785254,0.1390479072586112,High,High
1,0.0286504115899052,0.1596435243106759,High,High
2,0.0328791998620788,0.0485547254343804,Medium,Medium
1,0.0182751877665455,0.0890998740386959,Medium,Medium
2,0.0225495087305188,0.0302472290639858,Low,Low
2,0.0341386877696665,0.0253221398352804,Low,Low
2,0.0568686111088529,0.055121615379164,Medium,Medium
2,0.0214953814066168,0.0138301631492281,Low,Low
2,0.0243165508230516,0.0475598224159283,Medium,Medium
2,0.0244304520132589,0.0139296533515758,Low,Low
2,0.0003189659670841,0.0655688149471261,Medium,Medium
2,0.0312528145059788,0.0659170834387488,Medium,Medium
2,0.0352700901314005,0.0108452361944219,Low,Low
2,0.0198178454245448,0.07427483125292,Medium,Medium
2,0.0233533068477896,0.0329834347415649,Low,Low
2,0.0903939452566554,0.1785979757389857,High,High
2,0.0438793353296213,0.0510919311062633,Medium,Medium
2,0.0110494884982911,0.0286552363812284,Low,Low
2,0.0480124630330709,0.0785034929455923,High,High
2,0.0214076537298045,0.0407442420381319,Low,Low
2,0.0001078102046604,0.000945225923796,Low,Low
2,0.0004258540209637,0.0007462309924705,Low,Low
2,0.0348042662632823,0.0428336689175563,Medium,Medium
2,0.042956151021395,0.1016368203704345,High,High
2,0.0498030606888602,0.1085517683697009,High,High
2,0.0693931995408637,0.0762647775812509,High,High
2,0.038310731433664,0.0886024981475437,High,High
2,0.0391077463535032,0.0361175551612084,Medium,Medium
2,0.2146795772023459,0.054922606020706,High,High
2,0.0614248203929319,0.0369633134685813,Medium,Medium
2,0.0044985401299253,0.0230336583260511,Low,Low
2,0.0325378280262182,0.0538778446729641,Medium,Medium
2,0.0304069866722769,0.0709914417503653,Medium,Medium
2,0.0273420508885339,0.0387542608856881,Medium,Medium
2,0.0180829085503645,0.0058703504741016,Low,Low
2,0.0185424246676224,0.1306897719018112,High,High
2,0.0474667976737139,0.0188547498435962,Medium,Medium
2,0.0332767510396627,0.3973433131944658,High,High
2,0.0292954991746127,0.0319884103362046,Low,Low
2,0.0356148535659769,0.0780059812403995,Medium,Medium
2,0.0452261245689849,0.0127356522229263,Low,Low
2,0.101552736167234,0.0289537674827307,High,High
2,0.087376367304699,0.14586371250068,High,High
2,0.0217370208391369,0.0051241229640424,Low,Low
2,0.0220650370574554,0.0171632929273296,Low,Low
2,0.0136450806721694,0.0871597898703072,Medium,Medium
2,0.0285162841600397,0.0725336673927577,Medium,Medium
2,0.0775580411162458,0.0363165650171537,Medium,Medium
2,0.0237055157517221,0.0572110352937658,Medium,Medium
2,0.0292402407860717,0.053330632640457,Medium,Medium
2,0.0384197787574888,0.0740758432864172,Medium,Medium
2,0.014771784855315,0.0956170645018936,Medium,High
2,0.049255974977781,0.0983531900840129,High,High
2,0.0048604316170561,0.0668125297854991,Medium,Medium
2,0.2249497572733876,0.1987464160080079,High,High
2,0.0154112293562835,0.0570120503121869,Medium,Medium
2,0.0274670885464173,0.0675587956020826,Medium,Medium
2,0.0457262165181961,0.0479080202643503,Medium,Medium
2,0.0222867771946852,0.0421371961101764,Low,Low
2,0.0259772892897322,0.1191484539250494,High,High
2,0.0320937513477473,0.0106462139012933,Low,Low
2,0.11020673082789,0.0191532671149508,High,High
2,0.0032562856635527,0.0032834163668704,Low,Low
2,0.0486514488538458,0.1089994253772614,High,High
