Gene name,Expression level,Read count,Strain,Time_min,Expression_combined,Strain_Encoded,Cluster,ALAS1_combined,cluster
ALAS1,0.0367243219127106,0.1866572182214982,White,0,0.1116907700671044,1,1,0.1116907700671044,1
ALAS1,0.0594759948367412,0.3081437108559868,White,1,0.183809852846364,1,1,0.183809852846364,1
ALAS1,0.02783245785935,0.138351126506575,Black or African American,2,0.0830917921829625,0,2,0.0830917921829625,2
ALAS1,0.04337456915379,0.1004922592339804,confidential_restricted_data,3,0.0719334141938852,2,0,0.0719334141938852,0
ALAS1,0.047138435349453,0.1423808644086098,White,4,0.0947596498790314,1,1,0.0947596498790314,1
ALAS1,0.0420619581756381,0.098303292104983,confidential_restricted_data,5,0.0701826251403105,2,0,0.0701826251403105,0
ALAS1,0.0181822205966606,0.0810406410084426,White,6,0.0496114308025516,1,1,0.0496114308025516,1
ALAS1,0.0998610421766809,0.2844134508733377,confidential_restricted_data,7,0.1921372465250093,2,0,0.1921372465250093,0
ALAS1,0.087017200353966,0.2589421792616487,confidential_restricted_data,8,0.1729796898078073,2,0,0.1729796898078073,0
ALAS1,0.0341766324778985,0.147305798918756,White,9,0.0907412156983272,1,1,0.0907412156983272,1
ALAS1,0.0182751877665455,0.0890998740386959,White,10,0.0536875309026207,1,1,0.0536875309026207,1
ALAS1,0.0134157717129467,0.0793494278609669,White,11,0.0463825997869567,1,1,0.0463825997869567,1
ALAS1,0.0286516379306838,0.1345207078976038,White,12,0.0815861729141438,1,1,0.0815861729141438,1
ALAS1,0.028367280162643,0.1455148345870801,White,13,0.0869410573748615,1,1,0.0869410573748615,1
ALAS1,0.0312513414599264,0.1341224153139136,Black or African American,14,0.08268687838692,0,2,0.08268687838692,2
ALAS1,0.0297280789082842,0.1038257546652682,White,16,0.0667769167867761,1,1,0.0667769167867761,1
ALAS1,0.0897242961260215,0.2662555613797502,confidential_restricted_data,17,0.1779899287528858,2,0,0.1779899287528858,0
ALAS1,0.0423566069068729,0.1600912282312915,White,18,0.1012239175690822,1,1,0.1012239175690822,1
ALAS1,0.0592537828457353,0.1901398464241692,confidential_restricted_data,19,0.1246968146349522,2,0,0.1246968146349522,0
ALAS1,0.0338663371233506,0.151286020912029,White,20,0.0925761790176898,1,1,0.0925761790176898,1
ALAS1,0.0291481059470864,0.150291042275503,White,21,0.0897195741112946,1,1,0.0897195741112946,1
ALAS1,0.0155216251759254,0.0885525136057187,White,22,0.052037069390822,1,1,0.052037069390822,1
ALAS1,0.0275904435785254,0.1390479072586112,White,23,0.0833191754185682,1,1,0.0833191754185682,1
